ID	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
W268	21.76666667	12.33333333	40	11.1	2.366666667	6	3.166666667	143.6571429
W188	27.13333333	10.33333333	45	12.96666667	3.55	4.666666667	5.166666667	145.2
W067	34.33333333	13.33333333	42	16.43333333	3.966666667	6	4.5	145.6086957
C065	24.3	11.66666667	19	9.183333333	2.133333333	6.5	3	145.7692308
W011	27.9	10.33333333	43.66666667	11.55	2.966666667	5.5	4.166666667	146.1
W117	24.9	12	36	9.366666667	2.333333333	5.166666667	3.166666667	146.35
W249	23.06666667	12	25	9.1	2.116666667	5.833333333	2.833333333	146.5714286
W004	25.9	16	35.66666667	7.466666667	1.316666667	5.5	2.833333333	147.0666667
W252	35.8	14.5	35.5	13.425	3.025	7.5	3	148.2727273
C172	23.26666667	13.66666667	42.66666667	8.8	2.016666667	6	3	148.4166667
C038	27.4	11.66666667	34.33333333	13.6	3.333333333	6.166666667	3.333333333	148.5172414
W198	36.9	12.5	44.5	13.125	2.925	7	3.75	148.5689655
C191	25.53333333	13.66666667	34	11.35	2.466666667	6.666666667	3.166666667	148.7631579
W095	25.93333333	10.33333333	28	11.05	2.416666667	6.333333333	3.333333333	148.8
W070	NA	NA	NA	NA	NA	NA	NA	149.3953488
W119	24.06666667	15.66666667	42.33333333	12.23333333	2.5	6.166666667	2.833333333	149.5833333
W221	NA	NA	NA	NA	NA	NA	NA	149.8333333
W125	25.03333333	10.33333333	24.33333333	12	2.6	6	3	149.9069767
C045	23.46666667	12	44.33333333	11.53333333	2.383333333	6.166666667	3.333333333	150.2608696
C030	NA	NA	NA	NA	NA	NA	NA	150.8648649
W214	27.06666667	11.66666667	33	12.26666667	2.966666667	6.333333333	3	151.1162791
W091	26.96666667	9	39	12.11666667	3.283333333	5.5	6	151.3181818
C007	25.46666667	13	44.66666667	11.93333333	2.783333333	5.5	3.333333333	151.3548387
C013	26.33333333	8.333333333	32.33333333	11.88333333	2.85	5.833333333	4	151.7727273
W036	30.66666667	10.33333333	38.33333333	14.76666667	3.833333333	5.666666667	4.666666667	152.1509434
C043	28.06666667	13.33333333	35	14.1	3.283333333	7	3.166666667	153.137931
C091	29.8	12	42.66666667	15.28333333	3.816666667	6.666666667	4	153.5306122
C187	NA	NA	NA	NA	NA	NA	NA	154.3333333
C167	23.86666667	13	45.66666667	10.5	1.9	6.666666667	3	154.375
C151	26.2	16	50.33333333	10.36666667	2.3	6.666666667	3	155.2444444
W021	NA	NA	NA	NA	NA	NA	NA	155.55
C198	29.06666667	12.33333333	42.66666667	15.91666667	3.116666667	5.5	3.5	155.5588235
W254	30.23333333	14.66666667	30.66666667	11.56666667	2.65	6.166666667	3.166666667	155.8333333
C031	26.3	11.66666667	53.33333333	13.66666667	3.6	5.5	4	155.8529412
W320	NA	NA	NA	NA	NA	NA	NA	155.9019608
W205	28.73333333	12.33333333	43	13.46666667	2.666666667	6.5	3.166666667	156.375
C166	25.5	14.66666667	41	11.83333333	2.383333333	6.166666667	3.166666667	157.2647059
W019	23.86666667	13	44.66666667	10.55	3.016666667	4.666666667	4.166666667	157.3225806
C047	28.6	11	38.33333333	13.81666667	3.133333333	6	3.333333333	158.7368421
W034	29	10.66666667	31.66666667	13.1	3.216666667	5.833333333	3.5	159.3428571
W236	27.43333333	12.66666667	51.33333333	11.98333333	3.2	5.666666667	3.666666667	159.5652174
W234	24.26666667	13.33333333	43.66666667	11.15	2.316666667	6	3.166666667	159.6666667
W263	NA	NA	NA	NA	NA	NA	NA	160.175
W270	21.36666667	10.33333333	41.33333333	10.76666667	2.45	6	3.833333333	160.3513514
C129	NA	NA	NA	NA	NA	NA	NA	160.5531915
C086	28.3	10	35.33333333	15.16666667	4.016666667	6.333333333	5.833333333	160.8888889
W245	NA	NA	NA	NA	NA	NA	NA	161.1463415
W026	29.73333333	11.66666667	43	13.11666667	3.366666667	6.333333333	3.666666667	161.5853659
C192	NA	NA	NA	NA	NA	NA	NA	161.6769231
W049	29.73333333	10.66666667	47	15.68333333	3.766666667	6.333333333	4.666666667	161.8333333
W229	29.73333333	13	38	12.4	2.766666667	5.833333333	3	162.1219512
W101	29.56666667	11.66666667	37.33333333	14.85	3.233333333	6.666666667	3.666666667	162.4324324
W135	26.13333333	13	34	12.03333333	2.85	6.5	3	162.5609756
C175	26.33333333	14.33333333	36.33333333	10.55	2.533333333	6.166666667	3	163.8
C142	NA	NA	NA	NA	NA	NA	NA	163.8333333
C074	33.23333333	13.33333333	55.66666667	14.55	2.85	6.166666667	3.5	164.1851852
C184	NA	NA	NA	NA	NA	NA	NA	164.8113208
W223	26.1	11	47.66666667	14.06666667	3.783333333	5.833333333	4	165.2325581
W267	22.76666667	11.33333333	32.66666667	10.98333333	2.566666667	5.833333333	3.166666667	165.3636364
W114	NA	NA	NA	NA	NA	NA	NA	165.7333333
W041	31.7	14.66666667	31.33333333	12.13333333	2.833333333	6.166666667	3.166666667	165.952381
C144	NA	NA	NA	NA	NA	NA	NA	166.1
C179	38.45	17	59.5	12.275	2.125	6.5	4	166.3333333
W128	27.16666667	17	30.33333333	10.36666667	2.433333333	5.833333333	3	166.6666667
W210	32.4	13.33333333	51.66666667	15.36666667	3.483333333	6.166666667	3.666666667	167.3714286
C075	28.1	13	64.66666667	10.9	2.633333333	5.5	4.833333333	168
C005	33.9	21	45.33333333	11.08333333	2.5	5.833333333	3	168.4761905
W187	23.93333333	13.66666667	55.66666667	11.26666667	2.433333333	6.166666667	4	170.173913
C149	26.46666667	14	45	9.533333333	2.1	6	2.833333333	170.1923077
C097	NA	NA	NA	NA	NA	NA	NA	172.3809524
W165	23.56666667	12	51.33333333	9.566666667	2.05	5.833333333	3.333333333	172.7631579
W276	30.56666667	10.33333333	36	12.73333333	2.666666667	5.333333333	3	173
