"ID","Heading_date/days","Plant_height/cm","Leaf_length/cm","Leaf_width/cm","Tiller_angle/<U+00B0>","Full_grain_number_per_plant","Valid_panicle_number","Full_grain_number_per_panicle","Kilo-grain_weight/g","Seed_setting_rate.(%)","Yield_per_plant/g","Amylose_content","Gel_consistency","Chalkiness","Chalky_grain_percentage","Grain_shape(Length_to_width_ratio_of_polished_grain)","Grain_translucency_level","X19"
"ZJN1105",88,112,44.9,2.23,83.7,910,5.67,167.6,25.15,0.7,19.44,13.365,85,6.56,21.59,3.137,2,NA
"ZJN1106",88,128,47.13,1.73,75.7,1540,6.33,241.6,27.75,0.84,37.27,15.07,94,4.54,16.4,3.207,2,NA
"ZJN1111",89,133,43.1,2.2,70,1099,5.67,199.49,32.68,0.85,31.55,18.48,85,3.58,15.53,3.116,2,NA
"ZJN1112",88,133.67,32.17,2.13,80,1682,7.33,229.92,24.86,0.74,37.86,16.77,87.5,2.66,10.8,3.274,2,NA
"ZJN1114",88,125.33,33.8,1.9,76.7,1480,6,244.99,30.93,0.78,39.99,25.225,60,3.21,11.74,3.169,2,NA
"ZJN1116",82,104.67,39.2,1.83,77,1984,9,236.17,22.56,0.85,38.95,14.905,83,6.06,17.65,3.272,2,NA
"ZJN1118",97,127.67,41.2,2.57,76,1018,8,127.78,26.52,0.47,23.98,16.86,90,3.27,12.57,2.795,2,NA
"ZJN1119",95,123.67,39.83,1.93,85,1773,10.33,162.94,24.99,0.66,38.81,23.7,73,2.15,8.7,3.206,2,NA
"ZJN1123",74,107.33,50.4,1.7,79.3,1026,5.67,184.08,30.11,0.88,28.26,14.19,81,3.97,15.76,3.245,2,NA
"ZJN1128",89,118.33,42.67,1.97,85.7,1653,10.33,156.64,30.08,0.76,42.27,23.505,59.5,7.27,24.77,2.997,2,NA
"ZJN1129",91,130,45.7,2.17,81.7,2614,13.5,190.73,27.45,0.78,60.14,23.195,76.5,4.97,19.79,3.243,2,NA
"ZJN1130",86,116,44.97,2.27,76.7,1190,4.33,271.47,29.73,0.72,30.83,15.585,86,4.5,17.7,3.173,2,NA
"ZJN1131",85,122.67,46.3,2.6,78.3,2050,8.33,248.41,31.29,0.74,58.38,16.605,85,6.35,27.52,2.357,1,NA
"ZJN1142",94,123,39.67,2.63,80.3,1058,5.33,198.72,29.88,0.69,28.48,24.21,85,5.92,27.27,2.647,2,NA
"ZJN1143",86,119.33,38.6,2.1,83,1861,8,232.04,29.72,0.76,49.7,17.53,80,3.87,17.83,3.058,2,NA
"ZJN1146",88,118,37,1.9,73.3,2092,10,208.28,23.73,0.8,45.58,15.535,70,1.46,5.85,3.048,2,NA
"ZJN1157",95,115.67,39,2.4,78.3,1269,9.5,133.47,29.1,0.52,32.61,24.09,84,4.34,15.97,3.19,2,NA
"ZJN1163",89,118.33,36.7,1.87,79.7,1815,11,164.95,23.58,0.7,38.43,18.79,84,1.24,4.76,3.323,2,NA
"ZJN1164",87,117.67,49.47,1.9,82.7,1495,6,244.5,22.07,0.84,30.33,26.315,70,6.04,19.08,3.194,2,NA
"ZJN1165",94,135.33,51.17,2.1,80.7,1200,6.67,188.19,33.65,0.83,33.78,19.78,95,3.84,17.96,3.07,2,NA
"ZJN1166",92,116.33,37.27,1.83,73.3,1185,8,144.58,25.74,0.75,27.34,17.055,95,2.65,10.35,3.392,2,NA
"ZJN1172",82,115.33,47.4,1.97,82.3,1909,7.67,245.98,24.36,0.94,43.35,12.175,78,4.75,18.42,3.16,3,NA
"ZJN1177",86,119.67,47.83,1.9,84.3,965,7,134.01,31.2,0.67,26.3,14.03,95.5,4.87,19.51,3.232,3,NA
"ZJN1179",87,125.33,61.35,2.73,85,1913,5.33,363.98,23.13,0.74,39.89,16.78,92,4.58,17.65,2.487,1,NA
"ZJN1180",84,121,37.27,2.17,82.7,1526,8.67,179.71,25.03,0.8,33.82,15.065,72,8.05,30,3.549,3,NA
"ZJN1189",88,131.67,49.6,2.37,86,1327,6,221.62,29.84,0.74,34.95,24.325,74,10.86,42.27,2.41,3,NA
"ZJN1190",96,125.33,38.5,2.13,81.7,986,5.33,204.85,29.15,0.71,24.61,22.595,90,3.49,13,3.258,1,NA
"ZJN1191",91,123,36.43,1.8,77.3,1098,7,155.97,30.48,0.69,30.16,19.27,82,3.36,13.03,3.098,2,NA
"ZJN1192",77,115,40.7,2.03,79,1169,11.33,104.2,30.57,0.73,32.76,14.475,91,4.24,13.57,3.103,2,NA
"ZJN1195",93,122.33,49,1.97,83.7,886,7.33,112.75,33.12,0.65,27.06,16.9,86.5,5.61,22.32,3.165,2,NA
"ZJN1198",79,121,46.53,1.87,80,1350,7,193.21,26.14,0.78,32.5,19.02,88,5.18,18.96,3.278,2,NA
"ZJN1199",88,117.33,41.47,2.07,83.3,1635,7.67,216.19,28.73,0.77,39.88,28.39,77,6.92,27.99,2.988,2,NA
"ZJN1204",93,122,42.53,2.13,82,1652,9.33,179.24,25.07,0.77,36.66,21.34,70,4.2,16.62,2.482,1,NA
"ZJN1205",93,132,49.53,2,84,1555,7,220.4,35.63,0.94,48.91,20.38,90,4.89,22.67,3.114,2,NA
"ZJN1208",86,128.33,39.67,2.1,85,1068,5.67,183.27,33.34,0.7,33.29,26.785,72.5,8.91,32.55,2.667,2,NA
"ZJN1209",95,126,45.33,1.93,80,1367,7,194.69,29.5,0.89,34.2,29.26,65,4.03,14.67,3.254,2,NA
"ZJN1210",97,129.33,44.13,2.07,78.3,930,3.67,260.29,31.73,0.73,25.34,29.56,74,4.1,17.92,3.386,2,NA
"ZJN1214",93,125.33,37.87,2.17,80.7,673,5,134.6,29.29,0.78,17.14,27.94,76,6.1,19.38,3.189,2,NA
"ZJN1218",76,112,37.87,1.93,71.7,1325,8.33,163.73,26.62,0.77,31.25,18.41,85,5.74,20.08,3.167,2,NA
"ZJN1219",88,129,55,2.13,78.3,1545,6.33,244.11,26.99,0.66,36.24,21.76,76,2.49,10.73,3.188,2,NA
"ZJN1220",91,136.67,50.5,2.43,82,1248,6,210.04,32.13,0.64,32.88,30.585,77.5,7.87,30.48,2.807,3,NA
