ID	env	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
C162	2013HN	22.3	8.333333333	31.66666667	11.11666667	3.616666667	5.5	4.5	108.25
W325	2013HN	24.03333333	10	27	8.066666667	1.75	6	3.166666667	108.4166667
W206	2013HN	22.73333333	7	13.66666667	13.46666667	3.866666667	5.666666667	3.5	108.7333333
C130	2013HN	22.9	12.33333333	28	9.133333333	2.266666667	5.5	3.166666667	108.78125
W296	2013HN	23.83333333	7.666666667	24	9.116666667	2.216666667	5	3	108.8571429
W054	2013HN	19.96666667	10.33333333	24.33333333	9.583333333	2.433333333	5.5	3	109.125
W013	2013HN	17.13333333	10.33333333	24.33333333	7.033333333	1.766666667	4.666666667	3.666666667	109.6153846
W142	2013HN	22.66666667	7.666666667	26	9.4	2.683333333	5.333333333	4	109.6818182
W084	2013HN	22.56666667	8.666666667	26.33333333	10.9	3.45	5.666666667	4	110.0952381
W078	2013HN	21.73333333	8.666666667	29.66666667	10.51666667	3.016666667	4.833333333	3.333333333	110.1666667
W201	2013HN	23.46666667	10	22.66666667	11.01666667	2.5	6	3	110.5277778
C001	2013HN	22.66666667	8.666666667	26	10.95	2.716666667	5.5	3	111.25
C081	2013HN	25.13333333	11.66666667	28.66666667	13.05	3.6	6.166666667	4.333333333	111.25
W134	2013HN	24.43333333	8	27.33333333	12.15	3.433333333	5.833333333	4	111.8
W200	2013HN	22.33333333	8.333333333	14.33333333	9.483333333	2.48	5.833333333	2.833333333	111.8333333
C065	2013HN	21.23333333	10	21	8.5	2.05	6.333333333	3	112.4545455
W288	2013HN	24.93333333	10	19	9.416666667	2.15	6.333333333	3.5	112.5384615
W138	2013HN	20.8	9.333333333	19.33333333	7.95	1.8	6.833333333	2.333333333	112.6097561
W122	2013HN	25.5	12.66666667	18.33333333	13.03333333	4	6	3.5	112.76
W076	2013HN	21.1	9	26.33333333	10.36666667	2.95	5.833333333	4.833333333	112.875
W309	2013HN	26.03333333	11.33333333	24	10.7	1.8	6	1.833333333	113
W227	2013HN	21.36666667	10.66666667	28	9.883333333	2.683333333	5	3.333333333	113.2727273
W295	2013HN	24.5	8.666666667	28.66666667	13	4.283333333	5.166666667	4.5	113.6
C175	2013HN	21.6	10	25.66666667	9.983333333	3.033333333	5.833333333	3	113.65
C170	2013HN	23.03333333	10.66666667	16.33333333	9.9	1.866666667	6.5	2.5	113.7037037
W001	2013HN	18	14.33333333	28.66666667	8.3	1.716666667	6.333333333	2.166666667	114.6666667
W180	2013HN	22.53333333	9.666666667	26.66666667	11.33333333	3.15	6	3.666666667	114.84
W146	2013HN	22.03333333	9.666666667	26.33333333	10.25	2.316666667	6.166666667	3	114.8571429
W238	2013HN	21.56666667	8	24	11.9	3.616666667	5.166666667	3.833333333	114.92
W074	2013HN	23.33333333	7.666666667	28.33333333	10.73333333	2.983333333	5	3.833333333	114.952381
W046	2013HN	24.06666667	10.66666667	22.33333333	10.68333333	1.883333333	6.166666667	2.333333333	115.6190476
W298	2013HN	22.46666667	8	26	10.86666667	3.583333333	5	3	115.7391304
W135	2013HN	21.9	12.33333333	32.33333333	9.75	2.966666667	5.833333333	3.333333333	116.0434783
W231	2013HN	29.06666667	10.33333333	25.66666667	12.86666667	2.866666667	6	2.833333333	116.5
C084	2013HN	27.83333333	10.66666667	24.66666667	10.96666667	2.333333333	6.166666667	3.5	116.6923077
C182	2013HN	23.26666667	10.33333333	25.66666667	10.61666667	2.816666667	5.666666667	2.833333333	116.7
C077	2013HN	24.1	12	31	11.83333333	2.75	6.833333333	3.5	116.7941176
W192	2013HN	27.96666667	10.33333333	21.33333333	14.58333333	4.383333333	7.333333333	4.166666667	116.8
W184	2013HN	23.13333333	9	25.66666667	11.41666667	3.283333333	5.666666667	3.166666667	116.875
C027	2013HN	24.33333333	11.33333333	29.33333333	12.08333333	3.75	5.333333333	3.833333333	117.3333333
W119	2013HN	20.76666667	12.66666667	28.33333333	9.75	2.6	6.5	3.166666667	117.7857143
W123	2013HN	24.03333333	12	20.66666667	9.633333333	2.333333333	5.833333333	3.333333333	118
W267	2013HN	20.26666667	10	31.66666667	9.366666667	2.8	5.5	3.5	118.4210526
W012	2013HN	21.5	17	26	9	2.383333333	6.166666667	4	118.5555556
