"Cultivar Name","Cultivar ID","Subpopulation","Heading Date (day)"
"MR77_(seberang)","W221","Indica Intermediate","120"
"Muguanuo-1","C079","Temperate Japonica","85"
"Muguanuo-2","C133","Temperate Japonica","87"
"Muxiqiu","C067","Temperate Japonica","85"
"N-2703","W048","Aus","93"
"N_22","C013","Aus","91"
"Nam_Dawk_Mai","W039","Indica I","91"
"Nang_Bang_Bentre","W094","Aus","89"
"Nangaogu-1","C141","Indica I","121"
"Nangaogu-2","C088","Indica I","110"
"Nanjing11","C151","Indica I","92"
"Nanjing11-2","C165","Indica I","87"
"Nantehao","C072","Indica I","85"
"NANTON_NO._131","W062","Tropical Japonica","124"
"Nanxiongzaoyou","C162","Indica Intermediate","59"
"NC_1/536","W025","Aus","101"
"NEDA","W316","Indica II","92"
"NEW_BONNET","W300","Tropical Japonica","97"
"Niankenuo","C187","Temperate Japonica","101"
"Ninghui21","C119","Temperate Japonica","88"
"Nipponbare","C146","Temperate Japonica","83"
"Niwahutaw_Mochi","W059","Temperate Japonica","90"
"NORIN_11","W016","Temperate Japonica","45"
"NSICRC122","W309","Indica II","120"
"OM1706","W227","Indica Intermediate","92"
"OM1723","W228","Indica II","105"
"OM997","W183","Indica II","110"
"OM_2517","W313","Indica II","94"
"Onu_B","W041","Tropical Japonica","95"
"P59279","W271","Indica Intermediate","78"
"P_35","W103","Aus","94"
"Padi_Pohon_Batu","W024","Tropical Japonica","107"
"Padi_Tarab_Arab","W102","Tropical Japonica","95"
"Paikasa","W284","Tropical Japonica","117"
"Palung_2","W244","Indica II","98"
"Pan_Ju","W126","Indica I","89"
"Pathma_wee","W276","Indica III","109"
"PATNAI_6","W034","Aus","99"
"PD_46","W033","Indica I","82"
"PeiC122","C051","Intermediate","102"
"Pengshantieganzhan","W205","Indica I","93"
"Pergonil_15","W013","Temperate Japonica","72"
"Phalguna","W241","Indica II","102"
"PHUDUGEY","W049","Aus","77"
"Pokhreli","W236","Indica II","94"
"PR106","W170","Indica II","95"
"PR_116","W311","Indica II","111"
"PSB_RC_28","W184","Indica II","94"
"PSB_RC_66","W185","Indica II","112"
"PSBRC82","W308","Indica II","120"
"Pusa_(Basmatil)","W191","Intermediate","114"
"Putaohuang","C189","Temperate Japonica","83"
"Q5","W234","Indica Intermediate","94"
"Qingsiai16B","C025","Indica Intermediate","90"
"Qitoubaigu","C078","Indica Intermediate","88"
"Qitougu","C143","Indica I","103"
"Qiuqianbai","W318","Indica I","77"
"Qiyuexian","C102","Indica Intermediate","148"
"Quinimpol","W004","Tropical Japonica","106"
"R644","W159","Indica II","90"
"R_67","W065","Tropical Japonica","92"
"R_75","W017","Tropical Japonica","112"
"Ragasu","W055","Intermediate","97"
"Red","W042","Indica Intermediate","112"
"Red_Khosha_Cerma","W014","VI/Aromatic","92"
"RP2151-173-1-8","W051","Indica II","55"
"RUBIO","W251","Tropical Japonica","91"
"RUSTYLATE/Zhong_413","W246","Indica Intermediate","105"
"Sada_solay","W280","Aus","109"
"SADAJIRA-19-303","W263","Indica Intermediate","112"
"SADRI_RICE_1","W252","VI/Aromatic","112"
"Sadu-cho","C001","Indica I","80"
"Safut_Khosha","W015","Aus","103"
"SAI-BUI-BAO","W254","Tropical Japonica","102"
"Sanbaili","C055","Indica I","60"
"Sanbangqishiluo","C186","Japonica Intermediate","111"
"Sankecui","C038","Indica Intermediate","93"
"Sanlicun","C090","Indica Intermediate","91"
"Santhi_990","W097","Intermediate","88"
"Sapundali_Local","W075","Indica Intermediate","95"
"Secano_do_Brazil","W008","Tropical Japonica","105"
"Sel._No._388","W010","Japonica Intermediate","97"
"Sereendan_Kuning","W253","Tropical Japonica","101"
"Sereno","W111","Indica III","114"
"Shan-Huang_Zhan-2-1_","C006","Indica Intermediate","91"
"Shan-Huang_Zhan-2-2_","C007","Indica Intermediate","91"
"Shanjiugu","C085","Japonica Intermediate","91"
"Shennong265","W160","Temperate Japonica","89"
"SHIMIZU_MOCHI","W011","Temperate Japonica","73"
"Shimla_Early","W135","Indica Intermediate","105"
"Sholay","W281","Temperate Japonica","105"
"Shufeng101","C036","Indica Intermediate","85"
"Shui_Ya_Jien","W070","Indica Intermediate","99"
"Shuiyuan300li","C120","Temperate Japonica","73"
"Shwe_Thwe_Yin_Hyv","W179","Indica II","96"
"Sibeitichao6","W328","Intermediate","91"
"Simpor","W113","Tropical Japonica","110"
"Sipirasikkam","W031","Indica I","90"
"SL_22-620","W099","Aus","105"
"Somewake","W060","Temperate Japonica","72"
"SORNAVARI","W072","Aus","114"
"Spin_Mere","W100","Aus","102"
"Srav_Prapay","W093","Indica III","84"
"Sugeng2hao","C064","Temperate Japonica","109"
"Suiyangnian","W235","Indica I","89"
"Swarna","C008","Indica Intermediate","143"
"TAICHU_MOCHI_59","W005","Tropical Japonica","109"
"Taidongludao","C123","Tropical Japonica","82"
"TAINO_38","W128","Intermediate","111"
"Tainong67","C012","Temperate Japonica","97"
"TAINUNG_45","W074","Indica Intermediate","122"
"Taishannuo","C041","Indica I","91"
"Taizhongxianxuan2","C068","Indica II","93"
"Taizhongzailai1","C169","Indica Intermediate","97"
"Tamanishiki","W056","Temperate Japonica","110"
"Tarommolai1","W220","VI/Aromatic","109"
"Tauli","W076","Aus","94"
"TB154E-TB-2","W218","Indica Intermediate","116"
"TCHAMPA","W121","Aus","93"
"TD_70","W133","Indica Intermediate","95"
"Teksichut","W249","Temperate Japonica","80"
"TEQING","W186","Indica Intermediate","92"
"Teqingxuanhui","C044","Indica Intermediate","93"
"TGMS29","W240","Indica Intermediate","93"
"Thang_10","W030","Indica Intermediate","109"
"THAVALU","W115","Aus","116"
"Tieganwu","C089","Temperate Japonica","114"
"TJ","W032","Indica I","88"
"TKM6","W245","Indica Intermediate","92"
"TKM9","W171","Indica Intermediate","89"
"Toga","W054","Indica Intermediate","106"
"Tsao_wan_ching","W272","Indica Intermediate","117"
"Type3","W216","Indica II","108"
"Up15","W259","Indica II","96"
"UPR191-66","W238","Indica II","82"
"Uwi","W285","Tropical Japonica","116"
"Uz-Rosz_275","W260","Tropical Japonica","90"
"UZ_ROS_59","W080","Indica I","85"
"UZ_ROS_7-13","W098","Aus","95"
"UZ_ROSZ_M38","W018","Temperate Japonica","60"
"Vary_Tarva_Osla","W063","Japonica Intermediate","85"
"WAB462-10-3-1","W119","Tropical Japonica","95"
"Wanlixian","C180","Indica I","84"
"Warrangal_Culture_1252","W023","Indica III","105"
"WC_10253","W116","Tropical Japonica","99"
"WC_2811","W006","Tropical Japonica","104"
"WC_3532","W123","Tropical Japonica","99"
"Weiguo","C026","Temperate Japonica","80"
"Wenxiangnuo","W320","Indica Intermediate","124"
"WH099","C099","Indica Intermediate","114"
"WH100","C100","Indica Intermediate","101"
"WH105","C105","Indica Intermediate","97"
"WH109","C109","Indica I","88"
"WH115","C115","Indica II","73"
"WH139","C139","Indica I","99"
"WH62","C062","Indica I","94"
"WIR_911","W109","Temperate Japonica","48"
"Won_Son_Zo_No._11","W026","Indica I","92"
"Wudadaozhong","W268","Indica Intermediate","89"
"Wukezhan","C192","Indica Intermediate","149"
"Wumanggaonuo","W206","Indica Intermediate","110"
"Wuzidui","C134","Temperate Japonica","109"
"Wuzuhonggu","C140","Indica I","111"
"X21","W229","Indica II","108"
"X22","W230","Indica II","117"
"X23","W231","Indica II","107"
"XiangaiB","C121","Indica Intermediate","91"
"xiangaizao10","C021","Indica I","71"
"Xiangdao","C190","Indica I","93"
"Xianggu","C110","Indica I","107"
"Xiangnuo-1","C130","Temperate Japonica","98"
"Xiangnuo-2","C093","Temperate Japonica","100"
"Xiangwanxian1hao","C170","Indica I","91"
"Xiangwanxian3hao","C046","Indica Intermediate","91"
"Xiangzaoxian7hao","C113","Indica Intermediate","60"
"Xiaobaimi","C202","Indica I","89"
"Xiaohonggu","C095","Indica I","112"
"Xibaizhan","C135","Indica I","92"
"Ximaxian","C111","Temperate Japonica","147"
"Xingguo","C171","Temperate Japonica","89"
"Xiushui115","C054","Temperate Japonica","102"
"Xuanenchangtan","C131","Indica I","84"
"Xugunuo","C168","Indica Intermediate","92"
"Y134","W161","Indica II","82"
"Yangdao2hao","C061","Indica II","106"
"Yangkenuo","C188","Temperate Japonica","103"
"Yelicanghua","C035","Temperate Japonica","75"
"Yenfangghu","W247","Indica I","92"
"Yetuozai","W270","Indica Intermediate","85"
"Yizhixiang","C201","Indica Intermediate","110"
"Yong_Chal_Byo","W125","Intermediate","88"
"YOU-I_B","W087","Indica I","65"
"Youmangzaogeng","C070","Temperate Japonica","76"
"Younian","C191","Indica I","99"
"Yuanjing7","W162","Temperate Japonica","105"
"Yuexiangzhan","W163","Indica Intermediate","89"
"Yunguang8hao","W207","Temperate Japonica","99"
"Yunhui72","W267","Indica Intermediate","83"
"Yunjiang35","W266","Indica III","124"
"Yuyannuo-1","C103","Temperate Japonica","146"
"Yuyannuo-2","C196","Temperate Japonica","148"
"Zaoshunonghu6","C048","Temperate Japonica","89"
"Zaoshuxianghei","C163","Indica II","89"
"Zaoxian14","W164","Indica Intermediate","76"
"Zaoxian240","C203","Indica I","70"
"Zegu","C136","Indica I","88"
"Zhengxian232","C175","Indica Intermediate","103"
"Zhenshan97B","C145","Indica I","72"
"zhenshan97B-1","C024","Indica I","74"
"Zhong413","W165","Indica Intermediate","91"
"Zhongchao123","W208","Temperate Japonica","100"
"Zhonghua11","C149","Temperate Japonica","78"
"Zhonghua8hao","C172","Temperate Japonica","80"
"Zhonglouyihao1","C034","Temperate Japonica","83"
"Zhongnong4hao","C193","Indica I","83"
"Zhongyouzao81","W166","Indica Intermediate","103"
"ZhuzhenB","C159","Indica I","88"
"Zihui100","W167","Indica Intermediate","107"
"Zimangfeie","W324","Japonica Intermediate","125"
"Zinuo","C198","Indica Intermediate","91"
"ZIRI","W255","VI/Aromatic","103"
